Inf	0.090514	0.757303	-0.095035	-0.150396	-0.045371	-0.143484	-0.015659	-0.168780	-0.518754
0.090514	Inf	0.121241	0.047869	0.348458	0.238241	0.031925	-0.276510	-0.287902	-0.229004
0.757303	0.121241	Inf	-0.028838	-0.091430	0.071701	-0.298674	-0.477989	-0.239977	-0.100951
-0.095035	0.047869	-0.028838	Inf	0.246847	-0.274883	-0.432330	0.001099	-0.371444	-0.160278
-0.150396	0.348458	-0.091430	0.246847	Inf	0.276310	0.132750	-0.211907	-0.752677	-0.175331
-0.045371	0.238241	0.071701	-0.274883	0.276310	Inf	0.400827	-0.268157	-0.270365	-0.050161
-0.143484	0.031925	-0.298674	-0.432330	0.132750	0.400827	Inf	-0.036820	-0.021782	-0.020757
-0.015659	-0.276510	-0.477989	0.001099	-0.211907	-0.268157	-0.036820	Inf	0.218790	-0.421351
-0.168780	-0.287902	-0.239977	-0.371444	-0.752677	-0.270365	-0.021782	0.218790	Inf	0.219667
-0.518754	-0.229004	-0.100951	-0.160278	-0.175331	-0.050161	-0.020757	-0.421351	0.219667	Inf
