Inf	0.395712	0.402320	-0.310424	0.095651	-0.007441	-0.069037	0.208700	-0.318074	-0.424586
0.395712	Inf	0.423397	-0.303917	0.104632	-0.049022	-0.244839	0.007808	-0.232380	-0.151718
0.402320	0.423397	Inf	-0.234370	-0.370004	-0.213946	-0.299434	-0.171503	-0.270055	-0.114517
-0.310424	-0.303917	-0.234370	Inf	-0.097184	-0.430794	-0.483589	-0.559595	0.101583	0.003157
0.095651	0.104632	-0.370004	-0.097184	Inf	0.415729	0.243750	0.142052	-0.390179	-0.087225
-0.007441	-0.049022	-0.213946	-0.430794	0.415729	Inf	0.709116	0.365384	-0.225733	-0.263655
-0.069037	-0.244839	-0.299434	-0.483589	0.243750	0.709116	Inf	0.344641	0.100017	-0.029564
0.208700	0.007808	-0.171503	-0.559595	0.142052	0.365384	0.344641	Inf	0.172345	-0.326901
-0.318074	-0.232380	-0.270055	0.101583	-0.390179	-0.225733	0.100017	0.172345	Inf	0.042087
-0.424586	-0.151718	-0.114517	0.003157	-0.087225	-0.263655	-0.029564	-0.326901	0.042087	Inf
