Inf	0.287429	0.321184	-0.096900	-0.137626	-0.030161	0.180598	0.093648	-0.087965	-0.381155
0.287429	Inf	0.370033	-0.009236	-0.051156	0.153021	0.124495	-0.072606	-0.339933	-0.357737
0.321184	0.370033	Inf	-0.129842	-0.158804	0.209106	0.227595	0.003552	-0.256661	-0.532410
-0.096900	-0.009236	-0.129842	Inf	0.446162	-0.269471	-0.432880	0.153155	-0.049811	-0.159451
-0.137626	-0.051156	-0.158804	0.446162	Inf	0.076132	-0.040861	-0.045774	-0.308771	0.186362
-0.030161	0.153021	0.209106	-0.269471	0.076132	Inf	0.592913	-0.505529	-0.610289	0.020313
0.180598	0.124495	0.227595	-0.432880	-0.040861	0.592913	Inf	-0.236078	-0.335145	-0.076678
0.093648	-0.072606	0.003552	0.153155	-0.045774	-0.505529	-0.236078	Inf	0.062423	-0.123578
-0.087965	-0.339933	-0.256661	-0.049811	-0.308771	-0.610289	-0.335145	0.062423	Inf	-0.113142
-0.381155	-0.357737	-0.532410	-0.159451	0.186362	0.020313	-0.076678	-0.123578	-0.113142	Inf
