Inf	0.053378	0.532477	-0.159080	0.068425	-0.121273	-0.165350	0.208805	-0.195806	-0.161142
0.053378	Inf	0.448459	-0.223774	-0.053492	0.154699	-0.296159	-0.012516	-0.292391	0.140426
0.532477	0.448459	Inf	-0.480912	-0.182906	-0.115612	-0.387458	-0.152090	-0.346003	-0.252566
-0.159080	-0.223774	-0.480912	Inf	0.100449	-0.316946	-0.020497	-0.227895	0.261160	0.114542
0.068425	-0.053492	-0.182906	0.100449	Inf	0.051825	0.021822	-0.007361	-0.298047	-0.121464
-0.121273	0.154699	-0.115612	-0.316946	0.051825	Inf	0.339672	0.285760	-0.231249	-0.209745
-0.165350	-0.296159	-0.387458	-0.020497	0.021822	0.339672	Inf	0.372653	-0.128350	-0.212138
0.208805	-0.012516	-0.152090	-0.227895	-0.007361	0.285760	0.372653	Inf	0.012315	-0.089959
-0.195806	-0.292391	-0.346003	0.261160	-0.298047	-0.231249	-0.128350	0.012315	Inf	0.307489
-0.161142	0.140426	-0.252566	0.114542	-0.121464	-0.209745	-0.212138	-0.089959	0.307489	Inf
