Inf	-0.031359	0.073097	0.108999	-0.000774	-0.364326	-0.159638	0.144144	-0.063503	-0.384012
-0.031359	Inf	0.158222	-0.093544	-0.093444	0.201280	0.148543	0.150311	-0.021756	-0.110571
0.073097	0.158222	Inf	-0.169515	0.172560	-0.128274	0.019835	-0.017909	-0.392772	-0.464631
0.108999	-0.093544	-0.169515	Inf	-0.244703	-0.211798	-0.226375	-0.332517	-0.043410	0.073449
-0.000774	-0.093444	0.172560	-0.244703	Inf	0.138423	0.158056	-0.113358	-0.405820	-0.052137
-0.364326	0.201280	-0.128274	-0.211798	0.138423	Inf	0.660400	-0.252521	-0.408464	0.165169
-0.159638	0.148543	0.019835	-0.226375	0.158056	0.660400	Inf	0.286558	-0.050754	-0.115773
0.144144	0.150311	-0.017909	-0.332517	-0.113358	-0.252521	0.286558	Inf	0.622354	-0.260691
-0.063503	-0.021756	-0.392772	-0.043410	-0.405820	-0.408464	-0.050754	0.622354	Inf	0.266535
-0.384012	-0.110571	-0.464631	0.073449	-0.052137	0.165169	-0.115773	-0.260691	0.266535	Inf
